year,agebis,age,late.harem.size,early.harem.size,age.last.repro,density,early.num.points,late.num.points
17,10,10,7.647058824,0.908673638,14,131,0.632758322,6.25
18,10,10,9.384615385,5.26750457,11,144,0.132758322,5.5
18,12,12,5.909090909,2.51103652,14,144,1.36669635,6
18,10,10,2.181818182,-2.355491258,10,144,0.091091656,4.75
18,10,10,5.5,-0.840729353,11,144,0.320258322,5.75
18,11,11,2,-1.821734635,12,144,-0.033908344,5
18,11,11,6.181818182,-0.001550008,12,144,-1.013075011,4
18,11,11,1,-0.935266132,11,144,0.236924989,5
18,12,12,1.8,3.24972023,12,144,0.591091656,NA
18,11,11,6.285714286,-1.498521561,14,144,0.174424989,4
18,10,10,6.666666667,-0.424494352,12,144,-2.367241678,2.5
18,11,11,8.733333333,0.908673638,14,144,0.632758322,6.5
18,10,10,3.166666667,0.23746813,10,144,-0.929741678,4
19,11,11,8.727272727,5.26750457,11,162,0.132758322,6
19,10,10,5.5,-2.439004934,11,162,-0.679741678,3.5
19,12,12,7,-1.139772276,12,162,0.560412928,5
19,13,13,5,2.51103652,14,162,1.36669635,6.5
19,11,11,7,-0.840729353,11,162,0.320258322,5.5
19,10,10,15.08333333,0.372667046,13,162,-0.450575011,4.125
19,10,10,3.333333333,2.184153389,13,162,0.132758322,5
19,12,12,5,-0.001550008,12,162,-1.013075011,3.5
19,10,10,2.285714286,0.642060436,10,162,-0.721408344,4
19,10,10,8.166666667,0.213574431,13,162,1.132758322,6
19,12,12,6.1,-1.498521561,14,162,0.174424989,4
19,10,10,4.4,1.889712694,14,162,-0.283908344,4.5
19,11,11,5.785714286,-0.424494352,12,162,-2.367241678,2.5
19,12,12,2.5,-1.093230499,14,162,-0.617241678,4.5
19,12,12,6.722222222,0.908673638,14,162,0.632758322,5.5
19,10,10,6.217391304,-1.038285655,13,162,2.028591656,7.5
19,10,10,3.230769231,-1.399586944,14,162,-0.513075011,5
20,11,11,4.181818182,-2.439004934,11,177,-0.679741678,3.5
20,12,12,NA,0.263814568,5,177,0.778591656,5
20,14,14,3,2.51103652,14,177,1.36669635,NA
20,11,11,NA,-1.337501694,8,177,-0.283908344,2
20,11,11,NA,-0.515797551,5,177,0.695258322,2.5
20,10,10,7.681818182,2.234455246,10,177,-0.617241678,NA
20,10,10,4.375,1.498752775,13,177,1.841091656,7
20,11,11,15.82352941,0.372667046,13,177,-0.450575011,4.5
20,11,11,4.846153846,2.184153389,13,177,0.132758322,2.5
20,10,10,3.384615385,0.591153796,10,177,-0.263075011,2.5
20,10,10,5.888888889,-0.510162942,11,177,1.257758322,3
20,10,10,3.5,-0.69222267,12,177,-0.242241678,5.5
20,11,11,3.5,0.213574431,13,177,1.132758322,5.5
20,13,13,2.571428571,-1.498521561,14,177,0.174424989,4
20,11,11,4.875,1.889712694,14,177,-0.283908344,4.5
20,10,10,8.071428571,1.3443284,13,177,-0.679741678,NA
20,12,12,1.75,-0.424494352,12,177,-2.367241678,2.5
20,10,10,6,-0.866782712,13,177,-0.013075011,2.5
20,13,13,3.5,0.908673638,14,177,0.632758322,2.5
20,11,11,2.5,-1.038285655,13,177,2.028591656,7
20,11,11,4.272727273,-1.399586944,14,177,-0.513075011,2
21,10,10,1,-2.041782712,10,193,0.507846572,8
21,10,10,NA,-0.194560489,9,193,-0.117153428,4.125
21,12,12,NA,-1.337501694,8,193,-0.283908344,5.5
21,12,12,NA,-0.515797551,5,193,0.695258322,5.25
21,11,11,1,1.498752775,13,193,1.841091656,7
21,12,12,11.59090909,0.372667046,13,193,-0.450575011,4.5
21,12,12,3.5,2.184153389,13,193,0.132758322,5
21,11,11,4.818181818,-0.510162942,11,193,1.257758322,6.5
21,11,11,2.25,-0.69222267,12,193,-0.242241678,4.5
21,10,10,9.333333333,-1.108846408,11,193,-0.700575011,5
21,12,12,2.333333333,0.213574431,13,193,1.132758322,5
21,14,14,1.75,-1.498521561,14,193,0.174424989,5
21,12,12,2.75,1.889712694,14,193,-0.283908344,4.5
21,11,11,8.333333333,1.3443284,13,193,-0.679741678,4
21,11,11,1.727272727,-0.866782712,13,193,-0.013075011,5.5
21,14,14,1,-1.093230499,14,193,-0.617241678,4
21,14,14,4.25,0.908673638,14,193,0.632758322,6.5
21,12,12,4,-1.038285655,13,193,2.028591656,7.5
21,12,12,2.4,-1.399586944,14,193,-0.513075011,5.5
22,10,10,6.56,0.41740848,14,211,-0.388075011,4.5
22,13,13,NA,-0.515797551,5,211,0.695258322,5
22,12,12,6.6,1.498752775,13,211,1.841091656,7.75
22,10,10,1,-1.772143044,12,211,-0.533908344,4.75
22,13,13,2,0.372667046,13,211,-0.450575011,4.5
22,13,13,1,2.184153389,13,211,0.132758322,4.5
22,11,11,1,-1.502852099,11,211,0.132758322,5.625
22,12,12,5.75,-0.69222267,12,211,-0.242241678,4.75
22,11,11,4,-1.108846408,11,211,-0.700575011,4.75
22,13,13,3.222222222,0.213574431,13,211,1.132758322,6
22,10,10,5.625,0.179654421,12,211,-1.450575011,4
22,13,13,2.142857143,1.889712694,14,211,-0.283908344,4
22,12,12,6.5,1.3443284,13,211,-0.679741678,4.5
22,12,12,6.727272727,-0.866782712,13,211,-0.013075011,5.5
22,14,15,3.333333333,0.908673638,14,211,0.632758322,5.5
22,10,10,3.444444444,-0.7056716,12,211,0.052802683,5
22,13,13,1.285714286,-1.038285655,13,211,2.028591656,7.5
22,13,13,2.857142857,-1.399586944,14,211,-0.513075011,6
23,10,10,3,0.810166265,11,195,0.382758322,6
23,11,11,6.647058824,0.41740848,14,195,-0.388075011,4.5
23,14,14,NA,-0.515797551,5,195,0.695258322,5
23,13,13,3,1.498752775,13,195,1.841091656,7
23,11,11,3.4,-1.772143044,12,195,-0.533908344,5
23,10,10,10,0.250543756,10,195,-0.589587072,4.75
23,10,10,7,0.020759376,10,195,-0.283908344,5.5
23,14,14,NA,-2.678699618,9,195,0.466091656,NA
23,11,11,4.666666667,0.179654421,12,195,-1.450575011,4
23,14,16,2.333333333,-1.498521561,14,195,0.174424989,4.5
23,14,14,2,1.889712694,14,195,-0.283908344,3.5
23,13,13,6.037037037,1.3443284,13,195,-0.679741678,4.5
23,13,13,12.14285714,-0.866782712,13,195,-0.013075011,5
23,10,10,1,-0.888381231,10,195,-0.139587072,4
23,10,10,8.2,2.34278519,14,195,-0.263075011,5.5
23,11,11,4.214285714,-0.7056716,12,195,0.052802683,5
23,14,14,1.5,-1.399586944,14,195,-0.513075011,5.5
24,11,11,1.75,0.810166265,11,179,0.382758322,5.5
24,12,12,9.363636364,0.41740848,14,179,-0.388075011,5.5
24,12,12,2.5,-1.772143044,12,179,-0.533908344,5.25
24,10,10,4.181818182,-1.349711291,11,179,-0.617241678,4.5
24,10,10,6,-0.111227156,13,179,0.466091656,7
24,11,11,8.4,-1.486185432,11,179,-0.617241678,4
24,10,10,7,0.055418649,10,179,-0.075575011,NA
24,12,12,15,0.179654421,12,179,-1.450575011,3.75
24,11,11,10.375,2.34278519,14,179,-0.263075011,5
24,12,12,7.333333333,-0.7056716,12,179,0.052802683,4.5
